Category,Model,Success,Latency,Prompt Tokens,Completion Tokens,Total Tokens,Cost,Error
vision,openai/gpt-5-pro,False,0.454,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,qwen/qwen3-vl-30b-a3b-instruct,True,1.787,15,2,17,4.4e-06,
vision,qwen/qwen3-vl-235b-a22b-instruct,True,0.942,15,2,17,6.95e-06,
vision,qwen/qwen3-vl-30b-a3b-thinking,True,2.825,17,167,184,0.00017193,
vision,openai/gpt-5-codex,False,0.461,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,mistralai/mistral-medium-3.1,True,0.628,10,2,12,8e-06,
vision,qwen/qwen3-vl-235b-a22b-thinking,True,2.779,17,155,172,0.00040742,
vision,openai/gpt-5-chat,False,0.387,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,anthropic/claude-sonnet-4.5,True,3.286,14,4,18,0.000102,
vision,openai/gpt-5-mini,False,0.808,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5-nano,False,0.71,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/gpt-5,False,0.911,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,bytedance/ui-tars-1.5-7b,True,0.497,26,2,28,3e-06,
vision,z-ai/glm-4.5v,True,2.042,13,10,23,1.992e-05,
vision,google/gemini-2.5-flash-lite,True,0.629,7,1,8,1.1e-06,
vision,mistralai/codestral-2508,True,1.129,10,3,13,5.7e-06,
vision,mistralai/mistral-small-3.2-24b-instruct,True,0.551,10,2,12,1.5e-06,
vision,google/gemini-2.5-flash,True,0.974,7,1,8,4.6e-06,
vision,baidu/ernie-4.5-vl-424b-a47b,True,1.567,7,1,8,4.19e-06,
vision,openai/o3-pro,False,0.403,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,anthropic/claude-opus-4.1,True,2.586,14,4,18,0.00051,
vision,google/gemini-2.5-pro,True,1.594,7,7,14,7.875e-05,
vision,mistralai/mistral-medium-3,True,0.444,10,2,12,8e-06,
vision,anthropic/claude-sonnet-4,True,1.297,14,4,18,0.000102,
vision,google/gemini-2.5-pro-preview,True,2.159,7,7,14,7.875e-05,
vision,meta-llama/llama-guard-4-12b,True,0.54,211,3,214,3.852e-05,
vision,openai/o4-mini-high,False,0.357,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/o3,False,0.437,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/o4-mini,False,0.371,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,anthropic/claude-opus-4,True,2.926,14,4,18,0.00051,
vision,openai/gpt-4.1,False,0.617,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,google/gemini-2.5-pro-preview-05-06,True,1.858,7,7,14,7.875e-05,
vision,openai/gpt-4.1-mini,False,0.653,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/o1-pro,False,0.09,,,,,"APIStatusError: Error code: 402 - {'error': {'message': 'This request requires more credits, or fewer max_tokens. You requested up to 10 tokens, but can only afford 8. To increase, visit https://openrouter.ai/setting..."
vision,openai/gpt-4.1-nano,False,0.815,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,meta-llama/llama-4-scout,True,0.674,17,2,19,4.24e-06,
vision,mistralai/mistral-small-3.1-24b-instruct,True,0.745,10,2,12,4.62e-06,
vision,google/gemma-3-4b-it,True,0.481,16,3,19,1.1e-06,
vision,google/gemma-3-12b-it,True,0.482,16,2,18,1.1e-06,
vision,perplexity/sonar-pro,False,0.333,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""error"":{""message"":""max_tokens must be at least 16"",""type"":""invalid_request"",""code"":400,""param"":""m..."
vision,perplexity/sonar-reasoning-pro,False,0.338,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""error"":{""message"":""max_tokens must be at least 16"",""type"":""invalid_request"",""code"":400,""param"":""m..."
vision,openai/o3-mini-high,False,0.374,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,google/gemma-3-27b-it,True,1.13,16,5,21,3.53e-06,
vision,mistralai/mistral-saba,True,0.623,22,2,24,5.6e-06,
vision,meta-llama/llama-4-maverick,True,2.299,18,2,20,8.6e-06,
vision,perplexity/sonar,False,0.398,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""error"":{""message"":""max_tokens must be at least 16"",""type"":""invalid_request"",""code"":400,""param"":""m..."
vision,openai/o3-mini,False,0.409,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,openai/o1,False,0.392,,,,,"BadRequestError: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{\n  ""error"": {\n    ""message"": ""Invalid \'max_output_tokens\': integer below minimum value. Expect..."
vision,amazon/nova-lite-v1,True,0.794,7,2,9,9e-07,
vision,amazon/nova-pro-v1,True,0.659,7,3,10,1.52e-05,
vision,openai/gpt-4o-2024-11-20,True,0.851,14,1,15,4.5e-05,
vision,minimax/minimax-01,True,1.96,718,1,719,0.0001447,
vision,meta-llama/llama-3.2-11b-vision-instruct,True,0.452,17,2,19,6.555e-06,
vision,mistralai/mistral-large-2407,True,1.415,10,2,12,3.2e-05,
vision,qwen/qwen2.5-vl-72b-instruct,True,3.289,21,2,23,1.88e-05,
vision,openai/gpt-4o-2024-08-06,True,0.975,14,1,15,4.5e-05,
vision,openai/gpt-4o-mini-2024-07-18,True,0.705,14,1,15,2.7e-06,
vision,anthracite-org/magnum-v4-72b,True,1.559,15,2,17,5.5e-05,
vision,openai/gpt-4o-mini,True,0.963,14,2,16,3.3e-06,
vision,mistralai/mixtral-8x22b-instruct,True,0.462,22,2,24,5.6e-05,
vision,anthropic/claude-3-haiku,True,0.57,14,4,18,8.5e-06,
vision,openai/gpt-4o,True,1.115,14,1,15,4.5e-05,
vision,mistralai/mistral-large,True,0.652,10,2,12,3.2e-05,
vision,openai/gpt-4-turbo,True,1.285,14,1,15,0.00017,
vision,openai/gpt-4o-2024-05-13,True,1.815,14,2,16,0.0001,
vision,nvidia/nemotron-nano-12b-v2-vl:free,True,121.404,,,,,
